id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79352,-122.42649,Entire home/apt,96,30,44,2021-07-01,0.79,9,348
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,,Outer Richmond,37.77927,-122.48432,Entire home/apt,125,30,13,2021-03-28,0.10,2,276
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74778,-122.44566,Entire home/apt,116,30,27,2019-04-21,0.23,2,245
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79183,-122.42425,Private room,47,30,127,2019-08-24,1.05,9,330
56715,Downtown Rainbow: Artsy Lower Nob Hill Condo,252376,Megan,,Downtown/Civic Center,37.78605,-122.41559,Private room,125,2,98,2020-03-07,3.50,1,80
57479,Beautiful Alamo Park flat w deck,210882,Gaurav,,Western Addition,37.77434,-122.4373,Entire home/apt,160,30,153,2020-10-13,1.40,1,232
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.74684,-122.41548,Entire home/apt,178,30,218,2021-02-28,2.21,1,307
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75758,-122.42043,Private room,99,30,122,2019-09-14,2.65,2,89
58185,Quiet Home in the Trees of Forest Knolls,278102,Brooke,,Inner Sunset,37.75502,-122.45829,Entire home/apt,329,2,4,2020-07-17,0.15,1,0
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.80098,-122.41611,Private room,195,2,252,2021-03-30,2.11,4,54
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74188,-122.4127,Private room,150,30,192,2019-07-14,2.27,1,129
59831,Lovely quiet private room in Home,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,100,60,1,2011-05-23,0.01,1,0
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,279544,Emilie,,Western Addition,37.77034,-122.43594,Entire home/apt,425,3,220,2021-06-04,1.79,3,91
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Noe Valley,37.7422,-122.42996,Private room,85,2,37,2019-03-08,0.48,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.76314,-122.42468,Entire home/apt,607,3,59,2021-05-31,1.51,1,296
63247,Lovely art suite with parking and yard,290120,Anne,,Mission,37.74921,-122.41422,Entire home/apt,185,2,375,2021-07-30,3.11,2,345
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80284,-122.42839,Private room,105,30,68,2020-02-11,0.57,1,325
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Outer Richmond,37.77737,-122.47985,Entire home/apt,90,30,99,2021-03-30,0.82,2,336
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Philipp,,Mission,37.75393,-122.42505,Entire home/apt,326,30,40,2020-09-05,0.65,1,339
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77585,-122.46413,Entire home/apt,80,30,57,2021-07-31,0.49,1,258
69549,MISSION Outr BedRm3+Fridge+PvtBath,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,45,30,41,2021-05-27,0.49,12,0
69553,MISSION Outr BedRmU3+Fridge+MicroWave,305973,Maria,,Excelsior,37.73072,-122.42436,Private room,40,30,27,2019-08-12,0.33,12,338
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Outer Richmond,37.77505,-122.50776,Entire home/apt,185,30,8,2021-05-15,0.07,14,338
70139,Noe Valley Eco-Escape +Maid Service,354456,Rachel,,Bernal Heights,37.74544,-122.42271,Entire home/apt,110,30,10,2015-09-21,0.10,1,308
70753,Dorm Bed In Friendly Hostel Community #1,329072,James & Friends,,Financial District,37.7937,-122.40417,Shared room,45,1,403,2020-02-28,3.47,14,89
71645,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",367464,Jeff,,Bernal Heights,37.74409,-122.40846,Entire home/apt,114,3,180,2021-07-22,2.96,1,176
72365,Large loft studio in the center of SF. F1A,374909,Eric,,Western Addition,37.77489,-122.4322,Entire home/apt,90,30,69,2021-03-31,0.58,14,319
72444,Dorm Bed In Friendly Hostel Community #2,329072,James & Friends,,Financial District,37.7937,-122.40417,Private room,45,1,470,2021-07-19,5.27,14,71
72921,Wonderful private 1 bedroom apt. F6,374909,Eric,,Western Addition,37.77487,-122.43221,Entire home/apt,80,30,53,2020-08-26,0.43,14,353
74451,Views of SF from a nice studio F5,374909,Eric,,Western Addition,37.77497,-122.4323,Entire home/apt,100,30,24,2021-08-01,0.54,14,302
74758,Mission Outr Rustic Pvt Bedroom,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,35,30,35,2019-08-10,0.44,12,335
75422,Mission Outr CozyBedRm4+Minfridge,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,35,30,9,2018-07-09,0.08,12,365
75423,Mission Outr Big Precious Roomy Room,305973,Maria,,Excelsior,37.73077,-122.42587,Private room,38,30,36,2021-07-04,0.45,12,340
77175,Social Distance Friendly Private Studio,395569,Tyler&Shoreh,,Glen Park,37.73711,-122.43525,Entire home/apt,140,3,315,2021-07-25,2.64,1,110
77932,"FAB BDRM w/ PrvtBATH, Patio,Fridge",305973,Maria,,Excelsior,37.73072,-122.42436,Private room,43,30,24,2019-08-11,0.28,12,217
78651,Heart of the Mission: Hot spot,142882,Jessica And Sebouh,,Mission,37.75585,-122.42081,Private room,85,30,92,2019-09-19,1.81,2,365
80394,Hideaway in the Haight,126930,Abla,,Haight Ashbury,37.77065,-122.44433,Entire home/apt,135,30,25,2021-07-14,0.97,1,109
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,Brent,,Western Addition,37.78408,-122.44436,Entire home/apt,72,30,23,2021-06-30,0.57,1,279
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.76114,-122.44929,Entire home/apt,225,30,95,2019-01-01,0.87,1,337
96383,Prime Location Bright Private Room,216682,Jay,,Pacific Heights,37.79359,-122.42421,Private room,49,30,136,2021-07-14,1.24,9,324
99094,Spacious Edwardian Flat SF Mission,522225,Marzio,,Mission,37.76945,-122.42456,Entire home/apt,185,3,18,2021-07-30,0.20,1,50
105497,Private Room in San Francisco!,547669,Jamie,,Outer Sunset,37.75699,-122.4973,Private room,90,45,4,2019-08-16,0.09,4,364
106025,Gorgeous French Flat near Union Sq.,359813,Annette,,Downtown/Civic Center,37.78693,-122.41539,Entire home/apt,146,30,62,2021-07-02,0.58,1,77
109883,San Francisco Serenity/ lovely home,566147,Adam,,West of Twin Peaks,37.73241,-122.46432,Entire home/apt,133,2,399,2021-07-25,3.34,1,335
110825,Charming Cottage with Bay View,568933,Michael,,Bayview,37.71664,-122.38981,Entire home/apt,120,30,9,2019-08-11,0.07,1,338
114401,Room w/ a View in the Castro!,580606,George,,Castro/Upper Market,37.75939,-122.43051,Private room,116,1,603,2021-07-15,7.21,1,315
115242,Telegraph Hill-Full Bay View.Updated 1br++.Parking,582450,Dawn,,North Beach,37.80599,-122.40943,Entire home/apt,120,30,13,2020-11-22,0.11,1,190
121065,Victorian 1BR/1BA in Castro/Duboce,608445,Hassan,,Western Addition,37.77117,-122.43292,Entire home/apt,90,30,36,2017-06-21,0.36,2,242
124011,Golden Gate Park/UCSF Family High-Tech Victorian,617985,Patrick,,Inner Sunset,37.76317,-122.47029,Entire home/apt,580,7,12,2021-05-12,0.14,1,268
126046,SF Victorian With Skyline Views,625762,Ryan And Lindsea,,Haight Ashbury,37.76704,-122.44468,Entire home/apt,165,30,82,2019-08-24,0.84,3,308
